Keyword,Co-occurring Word,Frequency,Category
fog computing,paradigm,10,Other
fog computing,provide,11,Other
fog computing,privacy,13,ethical consideration
fog computing,thus,11,Other
fog computing,providing,12,Other
fog computing,achieve,12,Other
fog computing,propose,23,Other
fog computing,implementation,10,Other
fog computing,application,10,Other
fog computing,out,12,Other
fog computing,authors,14,Other
fog computing,increase,11,Other
fog computing,provides,14,Other
fog computing,effective,11,Other
fog computing,case,10,Other
fog computing,like,12,Other
fog computing,accuracy,11,Other
fog computing,should,10,Other
fog computing,licensee,11,Other
fog computing,switzerland,13,Other
fog computing,both,12,Other
fog computing,edge,24,Other
fog computing,mdpi,11,Other
fog computing,basel,11,Other
fog computing,usage,11,Other
fog computing,amount,10,Other
fog computing,intelligent,10,Other
fog computing,than,10,Other
fog computing,experimental,10,Other
fog computing,deployment,14,Other
fog computing,sensing,10,Other
healthcare monitoring,such,11,Other
healthcare monitoring,healthcare,13,Other
healthcare monitoring,which,11,Other
healthcare monitoring,for,13,Other
healthcare monitoring,monitoring,13,Other
healthcare monitoring,system,13,Other
healthcare monitoring,and,13,Other
healthcare monitoring,this,13,Other
healthcare monitoring,using,10,Other
healthcare monitoring,with,13,Other
healthcare monitoring,data,11,Other
internet of medical things (iomt),iomt,14,Other
internet of medical things (iomt),internet,14,Other
internet of medical things (iomt),medical,14,Other
internet of medical things (iomt),healthcare,12,Other
internet of medical things (iomt),which,10,Other
internet of medical things (iomt),for,14,Other
internet of medical things (iomt),proposed,10,Other
internet of medical things (iomt),system,10,Other
internet of medical things (iomt),and,14,Other
internet of medical things (iomt),things,14,Other
internet of medical things (iomt),this,14,Other
internet of medical things (iomt),with,11,Other
digital healthcare,data,13,Other
digital healthcare,healthcare,18,Other
digital healthcare,information,10,Other
digital healthcare,provide,10,Other
digital healthcare,for,16,Other
digital healthcare,that,17,Other
digital healthcare,and,18,Other
digital healthcare,this,17,Other
digital healthcare,using,10,Other
digital healthcare,with,18,Other
digital healthcare,digital,18,Other
digital healthcare,are,12,Other
digital healthcare,model,10,Other
digital healthcare,use,14,Other
semantic interoperability,semantic,10,Other
semantic interoperability,interoperability,10,Other
semantic interoperability,for,10,Other
semantic interoperability,that,10,Other
semantic interoperability,and,10,Other
semantic interoperability,this,10,Other
machine learning (ml),for,12,Other
machine learning (ml),learning,12,Other
machine learning (ml),and,12,Other
machine learning (ml),machine,12,Other
machine learning (ml),this,12,Other
machine learning (ml),with,10,Other
wearable devices,management,10,Other
wearable devices,are,22,Other
wearable devices,data,24,Other
wearable devices,such,15,Other
wearable devices,healthcare,17,Other
wearable devices,based,16,Other
wearable devices,more,13,Other
wearable devices,from,18,Other
wearable devices,new,15,Other
wearable devices,development,10,Other
wearable devices,first,10,Other
wearable devices,devices,35,Other
wearable devices,for,35,Other
wearable devices,wearable,35,Other
wearable devices,and,35,Other
wearable devices,their,13,Other
wearable devices,ieee,13,Other
wearable devices,machine,11,Other
wearable devices,this,35,Other
wearable devices,device,10,Other
wearable devices,over,10,Other
wearable devices,not,10,Other
wearable devices,that,21,Other
wearable devices,applications,15,Other
wearable devices,have,13,Other
wearable devices,mobile,14,Other
wearable devices,used,15,Other
wearable devices,use,23,Other
wearable devices,while,11,Other
wearable devices,with,28,Other
wearable devices,were,10,Other
wearable devices,continuous,12,Other
wearable devices,can,19,Other
wearable devices,monitoring,24,Other
wearable devices,both,12,Other
wearable devices,patients,11,Other
wearable devices,remote,11,Other
wearable devices,monitor,11,Other
wearable devices,studies,10,Other
wearable devices,technologies,10,Other
wearable devices,methods,13,Other
wearable devices,technology,11,Other
wearable devices,has,14,Other
wearable devices,paper,14,Other
wearable devices,provide,11,Other
wearable devices,activity,10,Other
wearable devices,using,15,Other
wearable devices,different,16,Other
wearable devices,which,14,Other
wearable devices,these,15,Other
wearable devices,support,10,Other
wearable devices,was,12,Other
wearable devices,results,13,Other
wearable devices,study,11,Other
wearable devices,time,12,Other
wearable devices,been,11,Other
wearable devices,medical,12,Other
wearable devices,system,16,Other
wearable devices,parameters,15,Other
wearable devices,rate,14,Other
wearable devices,performance,10,Other
wearable devices,analysis,12,Other
wearable devices,accuracy,13,Other
wearable devices,systems,13,Other
wearable devices,overall,11,Other
chronic disease,for,10,Other
chronic disease,that,10,Other
chronic disease,disease,11,Other
chronic disease,and,11,Other
chronic disease,chronic,11,Other
chronic disease,patients,10,Other
mhealth,theoretical,19,Other
mhealth,support,114,Other
mhealth,understanding,28,Other
mhealth,are,242,Other
mhealth,automated,15,Other
mhealth,patient,96,Other
mhealth,data,208,Other
mhealth,forms,11,Other
mhealth,propose,24,Other
mhealth,systems,65,Other
mhealth,diabetes,30,Other
mhealth,healthcare,115,Other
mhealth,work,68,Other
mhealth,from,225,Other
mhealth,new,71,Other
mhealth,means,26,Other
mhealth,technical,16,Other
mhealth,they,85,Other
mhealth,how,77,Other
mhealth,uses,26,Other
mhealth,for,383,Other
mhealth,that,317,Other
mhealth,disease,60,Other
mhealth,delivery,27,Other
mhealth,including,85,Other
mhealth,and,402,Other
mhealth,focusing,11,Other
mhealth,these,161,Other
mhealth,what,18,Other
mhealth,chronic,45,Other
mhealth,three,64,Other
mhealth,literature,50,Other
mhealth,patients,133,Other
mhealth,increasingly,23,Other
mhealth,community,33,Other
mhealth,offers,11,Other
mhealth,author,145,Other
mhealth,personalized,20,Other
mhealth,concepts,10,Other
mhealth,empirically,10,Other
mhealth,knowledge,49,Other
mhealth,this,343,Other
mhealth,frequently,15,Other
mhealth,device,39,Other
mhealth,article,32,Other
mhealth,explore,47,Other
mhealth,out,30,Other
mhealth,when,58,Other
mhealth,innovation,16,Other
mhealth,technologies,67,Other
mhealth,different,73,Other
mhealth,type,30,Other
mhealth,approach,101,Other
mhealth,digital,110,Other
mhealth,practices,28,Other
mhealth,care,107,Other
mhealth,settings,39,Other
mhealth,effect,38,Other
mhealth,total,36,Other
mhealth,was,217,Other
mhealth,questionnaires,27,Other
mhealth,selected,19,Other
mhealth,results,228,Other
mhealth,were,217,Other
mhealth,has,142,Other
mhealth,significant,80,Other
mhealth,diagnosis,27,Other
mhealth,yet,14,Other
mhealth,influence,41,Other
mhealth,identifying,14,Other
mhealth,showed,41,Other
mhealth,may,102,Other
mhealth,considering,21,Other
mhealth,half,13,Other
mhealth,participants,126,Other
mhealth,inclusion,11,Other
mhealth,less,27,Other
mhealth,sample,48,Other
mhealth,across,42,Other
mhealth,study,262,Other
mhealth,user,104,Other
mhealth,trial,31,Other
mhealth,symptoms,40,Other
mhealth,its,87,Other
mhealth,model,68,Other
mhealth,over,62,Other
mhealth,main,26,Other
mhealth,recommendations,25,Other
mhealth,assessed,31,Other
mhealth,analyses,12,Other
mhealth,validated,18,Other
mhealth,ones,14,Other
mhealth,likely,20,Other
mhealth,all,85,Other
mhealth,could,59,Other
mhealth,applications,112,Other
mhealth,background,101,Other
mhealth,suggestions,15,Other
mhealth,characteristics,30,Other
mhealth,identify,52,Other
mhealth,their,208,Other
mhealth,survey,67,Other
mhealth,registered,13,Other
mhealth,ehealth,43,Other
mhealth,help,62,Other
mhealth,conclusions,78,Other
mhealth,app,139,Other
mhealth,matched,10,Other
mhealth,objective,99,Other
mhealth,involving,17,Other
mhealth,role,30,Other
mhealth,emerged,13,Other
mhealth,met,10,Other
mhealth,users,122,Other
mhealth,use,322,Other
mhealth,our,88,Other
mhealth,greater,27,Other
mhealth,attitudes,16,Other
mhealth,symptom,16,Other
mhealth,conducted,95,Other
mhealth,clinical,84,Other
mhealth,investigate,29,Other
mhealth,appropriate,27,Other
mhealth,research,139,Other
mhealth,classification,10,Other
mhealth,using,214,Other
mhealth,mental,52,Other
mhealth,literacy,20,Other
mhealth,benefit,24,Other
mhealth,safety,16,Other
mhealth,trials,17,Other
mhealth,methods,171,Other
mhealth,but,84,Other
mhealth,only,53,Other
mhealth,predictors,20,Other
mhealth,with,335,Other
