Keyword,Co-occurring Word,Frequency
covid-19,respiratory,16
covid-19,participants,28
covid-19,perceptions,13
covid-19,healthcare,77
covid-19,home,14
covid-19,included,31
covid-19,physical,20
covid-19,provide,43
covid-19,providers,33
covid-19,among,48
covid-19,via,22
covid-19,provided,14
covid-19,improve,33
covid-19,access,47
covid-19,distancing,14
covid-19,background,36
covid-19,diverse,10
covid-19,identify,27
covid-19,descriptive,13
covid-19,factors,33
covid-19,used,85
covid-19,existing,24
covid-19,platform,14
covid-19,content,12
covid-19,conclusions,33
covid-19,case,26
covid-19,services,43
covid-19,implementation,36
covid-19,benefits,19
covid-19,explore,25
covid-19,conducted,41
covid-19,conditions,24
covid-19,qualitative,15
covid-19,centers,10
covid-19,general,12
covid-19,methods,68
covid-19,program,14
covid-19,engagement,12
covid-19,digital,67
covid-19,problems,13
covid-19,increased,23
covid-19,method,27
covid-19,internet,28
covid-19,showed,20
covid-19,areas,21
covid-19,present,33
covid-19,advantages,12
covid-19,over,18
covid-19,at,69
covid-19,which,64
covid-19,common,10
covid-19,due,33
covid-19,all,67
covid-19,limited,30
covid-19,many,39
covid-19,three,28
covid-19,better,24
covid-19,still,13
covid-19,low,17
covid-19,area,16
covid-19,essential,11
covid-19,compared,24
covid-19,outcomes,19
covid-19,public,53
covid-19,available,26
covid-19,research,72
covid-19,most,41
covid-19,examined,10
covid-19,however,53
covid-19,level,19
covid-19,potentially,12
covid-19,video,15
covid-19,other,40
covid-19,about,45
covid-19,usability,11
covid-19,selected,12
covid-19,assess,22
covid-19,activities,10
covid-19,useful,17
covid-19,features,24
covid-19,designed,10
covid-19,conclusion,27
covid-19,design,34
covid-19,developing,14
covid-19,user,28
covid-19,determine,17
covid-19,impact,29
covid-19,symptoms,18
covid-19,given,11
covid-19,development,25
covid-19,main,13
covid-19,implementing,11
covid-19,tools,16
covid-19,suggest,11
covid-19,questionnaire,14
covid-19,mean,13
covid-19,two,32
covid-19,education,12
covid-19,effective,24
covid-19,app,33
covid-19,developed,23
covid-19,aimed,17
covid-19,monitor,12
covid-19,or,71
covid-19,symptom,10
covid-19,out,16
covid-19,test,17
covid-19,smartphone,23
covid-19,analyzed,24
covid-19,are,98
covid-19,lockdown,10
covid-19,significant,44
covid-19,review,25
covid-19,differences,12
covid-19,report,13
covid-19,regression,10
covid-19,online,39
covid-19,its,47
covid-19,between,51
covid-19,living,13
covid-19,include,10
covid-19,implications,16
covid-19,likely,15
covid-19,risk,28
covid-19,characteristics,11
covid-19,mitigate,10
covid-19,completed,15
covid-19,effectiveness,23
covid-19,article,27
covid-19,united,12
covid-19,higher,13
covid-19,methodology,12
covid-19,should,27
covid-19,collected,26
covid-19,only,28
covid-19,reducing,14
covid-19,after,30
covid-19,approach,44
covid-19,further,26
covid-19,revealed,15
covid-19,states,11
covid-19,trust,12
covid-19,increase,30
covid-19,mhealth,21
covid-19,been,59
covid-19,contact,43
covid-19,worldwide,15
covid-19,no,25
covid-19,furthermore,14
covid-19,privacy,41
covid-19,could,35
covid-19,media,17
covid-19,have,80
covid-19,tracing,29
covid-19,analyze,14
covid-19,well,31
covid-19,distributed,12
covid-19,concerns,24
covid-19,government,15
covid-19,support,44
covid-19,communication,28
covid-19,positive,24
covid-19,particular,17
covid-19,mary,19
covid-19,inc,25
covid-19,strategies,15
covid-19,interventions,12
covid-19,global,18
covid-19,emerging,12
covid-19,some,18
covid-19,current,31
covid-19,interest,10
covid-19,liebert,19
covid-19,aim,20
covid-19,ann,21
covid-19,recent,13
covid-19,years,23
covid-19,time,51
covid-19,associated,23
covid-19,assessment,17
covid-19,al,17
covid-19,center,11
covid-19,key,25
covid-19,scores,15
covid-19,evaluated,10
covid-19,published,24
covid-19,discussion,16
covid-19,workers,10
covid-19,under,36
covid-19,those,29
covid-19,high,25
covid-19,et,16
covid-19,age,18
covid-19,but,35
covid-19,identified,32
covid-19,address,21
covid-19,screening,13
covid-19,additional,11
covid-19,citizens,10
covid-19,continuous,15
covid-19,countries,21
covid-19,efforts,20
covid-19,work,32
covid-19,control,34
covid-19,collection,14
covid-19,utility,11
covid-19,authorities,11
covid-19,need,43
covid-19,often,12
covid-19,widespread,11
covid-19,concern,11
covid-19,thus,17
covid-19,changes,21
covid-19,per,12
covid-19,around,25
covid-19,range,20
covid-19,point,10
covid-19,smart,19
covid-19,therefore,19
covid-19,manage,14
covid-19,systematic,12
covid-19,learning,30
covid-19,electronic,18
covid-19,limitations,10
covid-19,things,18
covid-19,issues,20
covid-19,ieee,23
covid-19,machine,23
covid-19,environment,12
covid-19,future,41
covid-19,describe,11
covid-19,security,24
covid-19,challenges,39
covid-19,addition,24
covid-19,secure,16
covid-19,nature,19
covid-19,transmission,11
covid-19,licence,13
covid-19,springer,13
covid-19,part,15
covid-19,severe,15
covid-19,had,25
covid-19,led,13
covid-19,techniques,14
covid-19,order,17
covid-19,virus,30
covid-19,exclusive,13
covid-19,objective,41
covid-19,respectively,10
covid-19,obtained,11
covid-19,challenge,15
covid-19,face,15
covid-19,needed,22
covid-19,population,20
covid-19,outbreak,20
covid-19,situations,11
covid-19,dataset,10
covid-19,infection,25
covid-19,show,18
covid-19,focus,17
covid-19,any,19
covid-19,oxygen,12
covid-19,tool,17
covid-19,way,14
covid-19,having,12
covid-19,solution,14
covid-19,reliable,12
covid-19,play,16
covid-19,perspective,11
covid-19,ongoing,12
covid-19,since,19
covid-19,personal,17
covid-19,processing,10
covid-19,device,12
covid-19,requires,10
covid-19,because,15
covid-19,saturation,14
covid-19,status,17
covid-19,infected,14
covid-19,network,22
covid-19,real,11
covid-19,neural,12
covid-19,accuracy,12
covid-19,enhance,12
covid-19,crucial,11
covid-19,iot,19
covid-19,several,25
covid-19,distance,17
covid-19,very,10
covid-19,tracking,24
covid-19,being,22
covid-19,resources,21
covid-19,efficient,11
covid-19,across,14
covid-19,national,15
covid-19,require,13
covid-19,large,10
covid-19,stakeholders,11
covid-19,up,14
covid-19,rapid,30
covid-19,local,10
covid-19,overall,25
covid-19,made,20
covid-19,service,25
covid-19,advanced,10
covid-19,response,26
covid-19,uses,19
covid-19,wearable,17
covid-19,whether,13
covid-19,each,19
covid-19,highly,20
covid-19,find,10
covid-19,classification,11
covid-19,number,29
covid-19,found,21
covid-19,outpatient,12
covid-19,appointments,10
covid-19,guidelines,10
covid-19,before,12
covid-19,than,35
covid-19,relevant,18
covid-19,rate,31
covid-19,light,11
covid-19,record,14
covid-19,community,11
covid-19,needs,33
covid-19,rates,10
covid-19,treatment,21
covid-19,respondents,22
covid-19,switzerland,13
covid-19,continuity,10
covid-19,sample,14
covid-19,direct,12
covid-19,reported,33
covid-19,experiences,11
covid-19,unique,10
covid-19,phone,11
covid-19,presented,11
covid-19,continue,12
covid-19,guide,12
covid-19,diabetes,10
covid-19,models,13
covid-19,technological,14
covid-19,communities,14
covid-19,benefit,10
covid-19,practice,17
covid-19,must,13
covid-19,visits,19
covid-19,compare,11
covid-19,questions,13
covid-19,scale,12
covid-19,related,36
covid-19,measures,30
covid-19,although,14
covid-19,known,10
covid-19,diseases,28
covid-19,architecture,10
covid-19,enabling,10
covid-19,demonstrated,10
covid-19,lower,11
covid-19,smartphones,10
covid-19,emergency,19
covid-19,professionals,14
covid-19,important,18
covid-19,applied,16
covid-19,spread,40
covid-19,importance,20
covid-19,process,19
covid-19,lack,24
covid-19,equipment,10
covid-19,relationship,10
covid-19,four,14
covid-19,recommendations,11
covid-19,ways,12
covid-19,search,16
covid-19,reserved,31
covid-19,barriers,15
covid-19,rights,36
covid-19,body,12
covid-19,temperature,10
covid-19,various,29
covid-19,specific,10
covid-19,context,14
covid-19,proposes,12
covid-19,currently,11
covid-19,telephone,11
covid-19,period,15
covid-19,transition,11
covid-19,march,11
covid-19,faced,13
covid-19,populations,13
covid-19,safe,10
covid-19,integrated,11
covid-19,received,11
covid-19,required,13
covid-19,consultations,10
covid-19,ensure,19
covid-19,quality,21
covid-19,implemented,14
covid-19,objectives,12
covid-19,almost,12
covid-19,sensors,11
covid-19,hospital,24
covid-19,greater,12
covid-19,groups,10
covid-19,develop,12
covid-19,decision,13
covid-19,implement,10
covid-19,perception,10
covid-19,surveillance,13
covid-19,terms,16
covid-19,possible,13
covid-19,created,12
covid-19,database,11
covid-19,presents,10
covid-19,science,15
covid-19,considering,10
covid-19,times,10
covid-19,group,11
covid-19,platforms,12
covid-19,ehealth,11
covid-19,fight,13
covid-19,considered,17
covid-19,would,10
covid-19,efficiency,14
covid-19,unprecedented,13
covid-19,algorithms,11
covid-19,testing,12
covid-19,same,10
covid-19,university,12
covid-19,critical,21
covid-19,against,20
covid-19,delivery,23
covid-19,solutions,15
covid-19,cases,19
covid-19,provides,13
covid-19,academic,13
covid-19,tests,16
covid-19,means,10
covid-19,exposed,10
covid-19,others,14
covid-19,scientific,10
covid-19,wide,10
covid-19,copyright,18
covid-19,heart,13
covid-19,according,11
covid-19,early,17
covid-19,life,10
covid-19,particularly,15
covid-19,effect,15
covid-19,improvement,13
covid-19,networks,10
covid-19,like,10
covid-19,rapidly,11
covid-19,maintain,11
fog computing,allows,12
fog computing,an,53
fog computing,has,28
fog computing,method,12
fog computing,on,52
fog computing,patient,26
fog computing,been,13
fog computing,internet,48
fog computing,heart,10
fog computing,efficient,24
fog computing,through,11
fog computing,is,53
fog computing,design,14
fog computing,computing,67
fog computing,medical,29
fog computing,simulation,11
fog computing,such,35
fog computing,smart,38
fog computing,present,12
fog computing,healthcare,39
fog computing,based,42
fog computing,its,21
fog computing,the,67
fog computing,fog,67
fog computing,of,67
fog computing,can,31
fog computing,to,67
fog computing,which,28
fog computing,for,64
fog computing,that,55
fog computing,in,66
fog computing,need,10
fog computing,proposed,50
fog computing,as,49
fog computing,have,24
fog computing,solution,18
fog computing,monitoring,31
fog computing,system,43
fog computing,techniques,14
fog computing,mobile,17
fog computing,and,67
fog computing,well,10
fog computing,performance,25
fog computing,architecture,19
fog computing,also,22
fog computing,things,48
fog computing,several,14
fog computing,high,18
fog computing,ieee,15
fog computing,use,32
fog computing,this,62
fog computing,device,16
fog computing,using,38
fog computing,recent,10
fog computing,with,46
fog computing,digital,10
fog computing,be,27
fog computing,technology,15
fog computing,time,30
fog computing,efficiency,14
fog computing,nature,13
fog computing,communication,11
fog computing,data,50
fog computing,systems,19
fog computing,show,22
fog computing,sensors,19
fog computing,information,19
fog computing,physical,10
fog computing,at,21
fog computing,main,10
fog computing,devices,33
fog computing,springer,13
fog computing,consumption,22
fog computing,part,13
fog computing,furthermore,15
fog computing,cloud,44
fog computing,sensor,13
fog computing,applications,37
fog computing,access,12
fog computing,under,10
fog computing,challenging,10
fog computing,storage,27
fog computing,used,18
fog computing,iot,44
fog computing,patients,21
fog computing,compared,14
fog computing,our,28
fog computing,processing,18
fog computing,proposes,11
fog computing,research,19
fog computing,energy,20
fog computing,security,24
fog computing,analysis,13
fog computing,other,20
fog computing,by,52
fog computing,secure,14
fog computing,years,10
fog computing,are,36
fog computing,intelligence,12
fog computing,it,21
fog computing,more,14
fog computing,from,31
fog computing,large,13
fog computing,solutions,17
fog computing,issues,22
fog computing,process,13
fog computing,latency,36
fog computing,service,20
fog computing,analytics,10
fog computing,most,11
fog computing,however,23
fog computing,technologies,17
fog computing,approach,13
fog computing,response,12
fog computing,challenges,13
fog computing,paper,39
fog computing,network,28
fog computing,science,10
fog computing,requirements,13
fog computing,llc,10
fog computing,business,10
fog computing,work,16
fog computing,new,14
fog computing,uses,13
fog computing,various,14
fog computing,media,10
fog computing,we,44
fog computing,their,23
fog computing,existing,13
fog computing,some,18
fog computing,services,28
fog computing,computational,13
fog computing,computation,11
fog computing,or,21
fog computing,increasing,17
fog computing,related,10
fog computing,further,11
fog computing,parameters,12
fog computing,management,16
fog computing,results,28
fog computing,quality,10
fog computing,key,14
fog computing,model,16
fog computing,development,15
fog computing,then,13
fog computing,analyze,10
fog computing,these,26
fog computing,better,12
fog computing,remote,24
fog computing,low,16
fog computing,into,13
fog computing,framework,22
fog computing,number,17
fog computing,resources,18
fog computing,problem,20
fog computing,user,15
fog computing,first,11
fog computing,due,10
fog computing,nodes,11
fog computing,algorithms,14
fog computing,become,14
fog computing,algorithm,12
fog computing,users,24
fog computing,environment,16
fog computing,terms,15
fog computing,health,33
fog computing,care,12
fog computing,huge,10
fog computing,paradigm,10
fog computing,provide,11
fog computing,privacy,13
fog computing,thus,11
fog computing,providing,12
fog computing,achieve,12
fog computing,propose,23
fog computing,implementation,10
fog computing,application,10
fog computing,out,12
fog computing,authors,14
fog computing,increase,11
fog computing,provides,14
fog computing,effective,11
fog computing,case,10
fog computing,like,12
fog computing,accuracy,11
fog computing,should,10
fog computing,licensee,11
fog computing,switzerland,13
fog computing,both,12
fog computing,edge,24
fog computing,mdpi,11
fog computing,basel,11
fog computing,usage,11
fog computing,amount,10
fog computing,intelligent,10
fog computing,than,10
fog computing,experimental,10
fog computing,deployment,14
fog computing,sensing,10
healthcare monitoring,an,11
healthcare monitoring,is,13
healthcare monitoring,such,11
healthcare monitoring,healthcare,13
healthcare monitoring,the,13
healthcare monitoring,of,13
healthcare monitoring,to,13
healthcare monitoring,which,11
healthcare monitoring,for,13
healthcare monitoring,in,13
healthcare monitoring,as,11
healthcare monitoring,monitoring,13
healthcare monitoring,system,13
healthcare monitoring,and,13
healthcare monitoring,this,13
healthcare monitoring,using,10
healthcare monitoring,with,13
healthcare monitoring,data,11
internet of medical things (iomt),an,11
internet of medical things (iomt),iomt,14
internet of medical things (iomt),on,12
internet of medical things (iomt),internet,14
internet of medical things (iomt),is,13
internet of medical things (iomt),medical,14
internet of medical things (iomt),healthcare,12
internet of medical things (iomt),the,14
internet of medical things (iomt),of,14
internet of medical things (iomt),to,13
internet of medical things (iomt),which,10
internet of medical things (iomt),for,14
internet of medical things (iomt),in,14
internet of medical things (iomt),proposed,10
internet of medical things (iomt),system,10
internet of medical things (iomt),and,14
internet of medical things (iomt),things,14
internet of medical things (iomt),this,14
internet of medical things (iomt),with,11
digital healthcare,an,12
digital healthcare,data,13
digital healthcare,is,16
digital healthcare,healthcare,18
digital healthcare,the,18
digital healthcare,information,10
digital healthcare,of,18
digital healthcare,to,18
digital healthcare,provide,10
digital healthcare,for,16
digital healthcare,that,17
digital healthcare,in,17
digital healthcare,as,11
digital healthcare,and,18
digital healthcare,we,12
digital healthcare,this,17
digital healthcare,using,10
digital healthcare,with,18
digital healthcare,digital,18
digital healthcare,by,13
digital healthcare,are,12
digital healthcare,on,15
digital healthcare,model,10
digital healthcare,use,14
semantic interoperability,semantic,10
semantic interoperability,the,10
semantic interoperability,of,10
semantic interoperability,to,10
semantic interoperability,interoperability,10
semantic interoperability,for,10
semantic interoperability,that,10
semantic interoperability,in,10
semantic interoperability,and,10
semantic interoperability,this,10
semantic interoperability,health,10
machine learning (ml),ml,12
machine learning (ml),an,10
machine learning (ml),on,10
machine learning (ml),the,12
machine learning (ml),of,12
machine learning (ml),to,12
machine learning (ml),for,12
machine learning (ml),in,12
machine learning (ml),learning,12
machine learning (ml),and,12
machine learning (ml),machine,12
machine learning (ml),this,12
machine learning (ml),with,10
machine learning (ml),by,10
wearable devices,management,10
wearable devices,an,27
wearable devices,are,22
wearable devices,on,29
wearable devices,data,24
wearable devices,such,15
wearable devices,healthcare,17
wearable devices,based,16
wearable devices,more,13
wearable devices,from,18
wearable devices,new,15
wearable devices,the,35
wearable devices,development,10
wearable devices,of,35
wearable devices,first,10
wearable devices,to,35
wearable devices,devices,35
wearable devices,for,35
wearable devices,wearable,35
wearable devices,in,33
wearable devices,as,21
wearable devices,and,35
wearable devices,we,21
wearable devices,their,13
wearable devices,ieee,13
wearable devices,machine,11
wearable devices,this,35
wearable devices,or,11
wearable devices,device,10
wearable devices,health,22
wearable devices,is,27
wearable devices,it,17
wearable devices,over,10
wearable devices,not,10
wearable devices,that,21
wearable devices,applications,15
wearable devices,have,13
wearable devices,mobile,14
wearable devices,used,15
wearable devices,use,23
wearable devices,while,11
wearable devices,with,28
wearable devices,by,22
wearable devices,were,10
wearable devices,continuous,12
wearable devices,can,19
wearable devices,monitoring,24
wearable devices,both,12
wearable devices,patients,11
wearable devices,remote,11
wearable devices,monitor,11
wearable devices,studies,10
wearable devices,technologies,10
wearable devices,methods,13
wearable devices,be,20
wearable devices,technology,11
wearable devices,has,14
wearable devices,paper,14
wearable devices,provide,11
wearable devices,activity,10
wearable devices,using,15
wearable devices,different,16
wearable devices,which,14
wearable devices,these,15
wearable devices,support,10
wearable devices,was,12
wearable devices,results,13
wearable devices,study,11
wearable devices,time,12
wearable devices,been,11
wearable devices,medical,12
wearable devices,system,16
wearable devices,parameters,15
wearable devices,rate,14
wearable devices,performance,10
wearable devices,analysis,12
wearable devices,accuracy,13
wearable devices,systems,13
wearable devices,overall,11
chronic disease,on,10
chronic disease,the,11
chronic disease,of,11
chronic disease,to,11
chronic disease,for,10
chronic disease,that,10
chronic disease,in,11
chronic disease,disease,11
chronic disease,and,11
chronic disease,chronic,11
chronic disease,patients,10
mhealth,theoretical,19
mhealth,support,114
mhealth,an,288
mhealth,understanding,28
mhealth,are,242
mhealth,on,305
mhealth,automated,15
mhealth,patient,96
mhealth,data,208
mhealth,forms,11
mhealth,propose,24
mhealth,systems,65
mhealth,it,147
mhealth,diabetes,30
mhealth,healthcare,115
mhealth,work,68
mhealth,from,225
mhealth,new,71
mhealth,the,402
mhealth,of,402
mhealth,means,26
mhealth,at,126
mhealth,technical,16
mhealth,to,402
mhealth,they,85
mhealth,how,77
mhealth,uses,26
mhealth,for,383
mhealth,that,317
mhealth,in,394
mhealth,disease,60
mhealth,as,266
mhealth,delivery,27
mhealth,including,85
mhealth,and,402
mhealth,focusing,11
mhealth,these,161
mhealth,what,18
mhealth,chronic,45
mhealth,three,64
mhealth,literature,50
mhealth,patients,133
mhealth,increasingly,23
mhealth,community,33
mhealth,offers,11
mhealth,author,145
mhealth,personalized,20
mhealth,concepts,10
mhealth,empirically,10
mhealth,knowledge,49
mhealth,this,343
mhealth,frequently,15
mhealth,device,39
mhealth,article,32
mhealth,explore,47
mhealth,out,30
mhealth,when,58
mhealth,innovation,16
mhealth,technologies,67
mhealth,different,73
mhealth,type,30
mhealth,health,298
mhealth,approach,101
mhealth,digital,110
mhealth,practices,28
mhealth,care,107
mhealth,settings,39
mhealth,by,269
mhealth,effect,38
mhealth,total,36
mhealth,was,217
mhealth,questionnaires,27
mhealth,selected,19
mhealth,results,228
mhealth,were,217
mhealth,has,142
mhealth,significant,80
mhealth,diagnosis,27
mhealth,yet,14
mhealth,influence,41
mhealth,identifying,14
mhealth,showed,41
mhealth,may,102
mhealth,considering,21
mhealth,is,314
mhealth,half,13
mhealth,participants,126
mhealth,inclusion,11
mhealth,less,27
mhealth,sample,48
mhealth,across,42
mhealth,study,262
mhealth,user,104
mhealth,trial,31
mhealth,ci,15
mhealth,symptoms,40
mhealth,its,87
mhealth,model,68
mhealth,over,62
mhealth,main,26
mhealth,recommendations,25
mhealth,assessed,31
mhealth,analyses,12
mhealth,validated,18
mhealth,ones,14
mhealth,likely,20
mhealth,all,85
mhealth,could,59
mhealth,applications,112
mhealth,background,101
mhealth,suggestions,15
mhealth,characteristics,30
mhealth,identify,52
mhealth,their,208
mhealth,survey,67
mhealth,registered,13
mhealth,ehealth,43
mhealth,help,62
mhealth,conclusions,78
mhealth,app,139
mhealth,matched,10
mhealth,objective,99
mhealth,involving,17
mhealth,role,30
mhealth,emerged,13
mhealth,met,10
mhealth,users,122
mhealth,use,322
mhealth,our,88
mhealth,greater,27
mhealth,attitudes,16
mhealth,or,164
mhealth,symptom,16
mhealth,conducted,95
mhealth,clinical,84
mhealth,investigate,29
mhealth,appropriate,27
mhealth,research,139
mhealth,classification,10
mhealth,using,214
mhealth,mental,52
mhealth,literacy,20
mhealth,benefit,24
mhealth,safety,16
mhealth,trials,17
mhealth,methods,171
mhealth,but,84
mhealth,only,53
mhealth,predictors,20
mhealth,with,335
mhealth,language,13
mhealth,analysis,126
mhealth,further,76
mhealth,identified,71
mhealth,according,23
mhealth,despite,40
mhealth,be,210
mhealth,individuals,53
mhealth,registration,16
mhealth,serious,26
mhealth,necessary,14
mhealth,technology,151
mhealth,years,49
mhealth,increase,53
mhealth,emergency,16
mhealth,prevalence,14
mhealth,within,41
mhealth,associated,35
mhealth,adults,43
mhealth,significantly,34
mhealth,quality,65
mhealth,engage,15
mhealth,expected,10
mhealth,present,64
mhealth,sampling,16
mhealth,included,54
mhealth,usage,53
mhealth,more,113
mhealth,did,22
mhealth,not,126
mhealth,than,69
mhealth,theory,36
mhealth,no,46
mhealth,devices,58
mhealth,remain,11
mhealth,indicated,22
mhealth,populations,25
mhealth,questionnaire,46
mhealth,perform,16
mhealth,among,89
mhealth,had,46
mhealth,pandemic,22
mhealth,ways,15
mhealth,aims,49
mhealth,them,54
mhealth,intention,27
mhealth,many,54
mhealth,mobile,262
mhealth,group,72
mhealth,well,59
mhealth,performance,48
mhealth,who,68
mhealth,either,16
mhealth,factors,68
mhealth,used,166
mhealth,remote,33
mhealth,variety,12
mhealth,high,74
mhealth,unified,17
mhealth,willingness,12
mhealth,services,69
mhealth,developed,93
mhealth,effort,19
mhealth,older,37
mhealth,especially,38
mhealth,service,48
mhealth,adoption,45
mhealth,median,14
mhealth,acceptance,46
mhealth,age,36
mhealth,programs,13
mhealth,complete,15
mhealth,authors,64
mhealth,expectancy,13
mhealth,however,136
mhealth,affected,16
mhealth,subjective,12
mhealth,smartphone,97
mhealth,while,67
mhealth,will,56
mhealth,highlighted,13
mhealth,challenges,60
mhealth,experience,58
mhealth,one,75
mhealth,providing,42
mhealth,behavioural,14
mhealth,status,18
mhealth,own,22
mhealth,management,69
mhealth,focused,25
mhealth,standard,14
mhealth,paper,89
mhealth,traditional,22
mhealth,problem,26
mhealth,field,26
mhealth,evaluation,92
mhealth,lead,19
mhealth,affect,17
mhealth,review,44
mhealth,countries,31
mhealth,through,120
mhealth,particular,17
mhealth,medical,77
mhealth,therefore,38
mhealth,so,15
mhealth,beyond,14
mhealth,based,115
mhealth,far,10
mhealth,development,98
mhealth,can,164
mhealth,which,134
mhealth,burden,16
mhealth,diagnosed,11
mhealth,tool,55
mhealth,towards,30
mhealth,up,27
mhealth,recruited,16
mhealth,goal,23
mhealth,demonstrate,19
mhealth,if,37
mhealth,specifically,20
mhealth,improve,89
mhealth,solution,40
mhealth,monitoring,70
mhealth,established,10
mhealth,often,29
mhealth,we,198
mhealth,setting,26
mhealth,effective,60
mhealth,moreover,15
mhealth,those,41
mhealth,existing,66
mhealth,environmental,11
mhealth,solutions,44
mhealth,current,60
mhealth,pilot,46
mhealth,lack,43
mhealth,where,34
mhealth,conditions,50
mhealth,combination,14
mhealth,available,41
mhealth,reduction,10
mhealth,lifestyle,26
mhealth,already,10
mhealth,growing,16
mhealth,population,53
mhealth,screening,10
mhealth,usability,100
mhealth,cognitive,23
mhealth,practical,26
mhealth,time,73
mhealth,assessing,19
mhealth,found,58
mhealth,assessment,56
mhealth,early,28
mhealth,groups,57
mhealth,adult,11
mhealth,been,95
mhealth,world,17
mhealth,best,31
mhealth,such,130
mhealth,vital,11
mhealth,acceptability,31
mhealth,first,55
mhealth,tools,59
mhealth,offer,19
mhealth,diseases,29
mhealth,score,16
mhealth,tested,24
mhealth,system,113
mhealth,potential,86
mhealth,two,84
mhealth,shown,25
mhealth,second,15
mhealth,good,24
mhealth,also,105
mhealth,thus,29
mhealth,feasibility,48
mhealth,limitations,20
mhealth,assessments,15
mhealth,changes,27
mhealth,enhancing,12
mhealth,particularly,15
mhealth,called,15
mhealth,society,15
mhealth,stage,11
mhealth,scale,41
mhealth,improved,28
mhealth,obtained,22
mhealth,tracking,31
mhealth,challenge,22
mhealth,terms,32
mhealth,practice,40
mhealth,version,17
mhealth,function,19
mhealth,engagement,36
mhealth,highly,21
mhealth,intervention,78
mhealth,assess,48
mhealth,comparison,14
mhealth,medicine,15
mhealth,reach,19
mhealth,internet,24
mhealth,positive,44
mhealth,design,115
mhealth,strategy,14
